error,favorite_count,id,media_type,media_url,retweet_count
,1837.0,693942351086120961,photo,https://pbs.twimg.com/media/CaFg41YWkAAdOjy.jpg,398.0
,2860.0,693647888581312512,photo,https://pbs.twimg.com/media/CaBVE80WAAA8sGk.jpg,643.0
,1425.0,693644216740769793,,,139.0
,2696.0,693642232151285760,photo,https://pbs.twimg.com/media/CaBP7i9W0AAJrIs.jpg,448.0
,2595.0,693629975228977152,photo,https://pbs.twimg.com/media/CaBEx3SWEAILZpi.jpg,868.0
,1638.0,693622659251335168,photo,https://pbs.twimg.com/media/CaA-IR9VIAAqg5l.jpg,399.0
,5361.0,693590843962331137,photo,https://pbs.twimg.com/media/CaAhMb1XEAAB6Bz.jpg,2131.0
,1740.0,693582294167244802,,,276.0
,1884.0,693486665285931008,photo,https://pbs.twimg.com/ext_tw_video_thumb/693486485266247680/pu/img/KhapmUYPQTpbwNf8.jpg,681.0
,3564.0,693280720173801472,photo,https://pbs.twimg.com/media/CZ8HIsGWIAA9eXX.jpg,1345.0
,2532.0,693267061318012928,,,889.0
,2366.0,693262851218264065,photo,https://pbs.twimg.com/media/CZ724fDUYAAytS-.jpg,544.0
,3036.0,693231807727280129,photo,https://pbs.twimg.com/media/CZ7aplIUsAAq-8s.jpg,795.0
,8366.0,693155686491000832,photo,https://pbs.twimg.com/media/CZ6VataXEAIFmm6.jpg,3462.0
,1825.0,693109034023534592,photo,https://pbs.twimg.com/ext_tw_video_thumb/693108992730632192/pu/img/ncJQQZf3eroMSF12.jpg,665.0
,1993.0,693095443459342336,photo,https://pbs.twimg.com/media/CZ5entwWYAAocEg.jpg,500.0
,2832.0,692919143163629568,photo,https://pbs.twimg.com/media/CZ2-SRiWcAIjuM5.jpg,805.0
,2584.0,692905862751522816,photo,https://pbs.twimg.com/media/CZ2yNKhWEAA_7cb.jpg,948.0
,1897.0,692901601640583168,photo,https://pbs.twimg.com/media/CZ2uU37UcAANzmK.jpg,656.0
,2415.0,692894228850999298,photo,https://pbs.twimg.com/media/CZ2nn7BUsAI2Pj3.jpg,873.0
,3046.0,692828166163931137,photo,https://pbs.twimg.com/media/CZ1riVOWwAATfGf.jpg,956.0
,7245.0,692752401762250755,photo,https://pbs.twimg.com/tweet_video_thumb/CZ0mhduWkAICSGe.png,3928.0
,4616.0,692568918515392513,photo,https://pbs.twimg.com/media/CZx_wVwUsAA6CQu.jpg,1662.0
,3382.0,692535307825213440,photo,https://pbs.twimg.com/media/CZxhL2yWAAI_DHn.jpg,1469.0
,1962.0,692530551048294401,photo,https://pbs.twimg.com/media/CZxc3G7WEAAM4Mv.jpg,456.0
,1569.0,692423280028966913,,,248.0
,9910.0,692417313023332352,photo,https://pbs.twimg.com/media/CZv13u5WYAA6wQe.jpg,3758.0
,2673.0,692187005137076224,photo,https://pbs.twimg.com/media/CZskZ-MWYAElatH.jpg,886.0
,2286.0,692158366030913536,photo,https://pbs.twimg.com/media/CZsKVxfWQAAXy2u.jpg,858.0
,1742.0,692142790915014657,photo,https://pbs.twimg.com/media/CZr8LvPWYAA053E.jpg,426.0
,3605.0,692041934689402880,,,1378.0
,3038.0,692017291282812928,photo,https://pbs.twimg.com/media/CZqKDZTVIAEvtbc.jpg,1035.0
,4185.0,691820333922455552,photo,https://pbs.twimg.com/media/CZnW7JGW0AA83mn.jpg,1786.0
,8611.0,691793053716221953,,,4545.0
,3068.0,691756958957883396,photo,https://pbs.twimg.com/media/CZmdSD8UcAAnY5R.jpg,1106.0
,2061.0,691675652215414786,photo,https://pbs.twimg.com/media/CZlTVL4WkAEpVR5.jpg,550.0
,2519.0,691483041324204033,photo,https://pbs.twimg.com/media/CZikKBIWYAA40Az.jpg,611.0
,4315.0,691459709405118465,photo,https://pbs.twimg.com/media/CZiO7mWUEAAa4zo.jpg,1244.0
,2816.0,691444869282295808,photo,https://pbs.twimg.com/media/CZiBcJmWEAA0HdW.jpg,918.0
,20522.0,691416866452082688,photo,https://pbs.twimg.com/media/CZhn-QAWwAASQan.jpg,8276.0
,2735.0,691321916024623104,photo,https://pbs.twimg.com/media/CZgRmk0UcAAxeuQ.jpg,713.0
,3145.0,691096613310316544,photo,https://pbs.twimg.com/media/CZdEq-AUMAAWayR.jpg,967.0
